order_id,order_date,shipping_date,status,quantity,unit_price,payment_method,customer_id,customer_name,customer_email,customer_city,customer_state,product_id,product_name,category,supplier,review
85,2025-05-02T16:50:02.000-03:00,2025-05-05T16:50:02.000-03:00,Entregue,4,499.9,Boleto,921,Sophia Cavalcanti,arthur-gabrielsa@example.net,Montenegro de Cunha,PE,3,Fone Gamma,Eletrônicos,TechBrasil,Qualidade ruim
243,2025-01-22T13:34:34.000-03:00,2025-01-23T13:34:34.000-03:00,Entregue,1,499.9,Boleto,537,Maria Clara da Cunha,agatha25@example.org,Siqueira,BA,3,Fone Gamma,Eletrônicos,TechBrasil,Qualidade ruim
516,2025-07-17T23:22:13.000-03:00,2025-07-21T23:22:13.000-03:00,Entregue,1,499.9,Boleto,789,Maria Laura da Luz,renandias@example.com,Santos Verde,RJ,3,Fone Gamma,Eletrônicos,TechBrasil,Entrega atrasada
596,2025-04-30T03:37:34.000-03:00,2025-05-02T03:37:34.000-03:00,Entregue,4,499.90000000006216,Pix,690,Gustavo Henrique Cassiano,qmachado@example.com,Costa de Minas,SP,3,Fone Gamma,Eletrônicos,TechBrasil,Não recomendo
623,2025-06-05T23:18:39.000-03:00,2025-06-06T23:18:39.000-03:00,Entregue,4,499.9,Boleto,87,Agatha Novais,maite80@example.org,Gonçalves Grande,RS,3,Fone Gamma,Eletrônicos,TechBrasil,Qualidade ruim
737,2025-05-20T07:19:56.000-03:00,2025-05-22T07:19:56.000-03:00,Entregue,3,499.9,Pix,231,Sophia Cirino,emanuellasampaio@example.org,Viana da Prata,SC,3,Fone Gamma,Eletrônicos,TechBrasil,Produto chegou antes do esperado
796,2025-06-17T22:36:48.000-03:00,2025-06-20T22:36:48.000-03:00,Entregue,4,499.9,Boleto,156,Eduardo Farias,alana99@example.net,Freitas Verde,SP,3,Fone Gamma,Eletrônicos,TechBrasil,"Muito bom, recomendo"
876,2025-03-16T08:53:38.000-03:00,2025-03-21T08:53:38.000-03:00,Entregue,1,499.9,Boleto,414,Emanuel Cassiano,beniciocamargo@example.net,Cunha,MG,3,Fone Gamma,Eletrônicos,TechBrasil,Não recomendo
897,2025-08-22T08:05:14.000-03:00,2025-08-29T08:05:14.000-03:00,Entregue,4,499.9,Cartão de crédito,53,Mariana Novais,olivianogueira@example.org,Santos,GO,3,Fone Gamma,Eletrônicos,TechBrasil,Excelente atendimento
1025,2025-10-06T00:11:17.000-03:00,2025-10-10T00:11:17.000-03:00,Entregue,1,499.9,Boleto,669,Arthur Gabriel Sá,limadanilo@example.org,Farias de Minas,SP,3,Fone Gamma,Eletrônicos,TechBrasil,Produto chegou antes do esperado
1331,2025-02-26T23:15:03.000-03:00,2025-03-02T23:15:03.000-03:00,Entregue,1,499.9,Boleto,537,Maria Clara da Cunha,agatha25@example.org,Siqueira,BA,3,Fone Gamma,Eletrônicos,TechBrasil,Não recomendo
1344,2025-04-15T13:34:23.000-03:00,2025-04-22T13:34:23.000-03:00,Entregue,2,499.9,Pix,238,Sr. Pedro da Paz,rodriguescaroline@example.net,Souza,SP,3,Fone Gamma,Eletrônicos,TechBrasil,Qualidade ruim
1580,2025-01-25T00:53:04.000-03:00,2025-01-31T00:53:04.000-03:00,Entregue,4,499.9,Pix,773,Srta. Rebeca Sousa,viniciusrezende@example.org,Pimenta,SP,3,Fone Gamma,Eletrônicos,TechBrasil,Produto chegou antes do esperado
1721,2025-03-03T20:36:37.000-03:00,2025-03-06T20:36:37.000-03:00,Entregue,3,499.9,Boleto,281,Dr. José Pedro da Luz,rebeca25@example.com,Abreu,CE,3,Fone Gamma,Eletrônicos,TechBrasil,Excelente atendimento
1745,2025-03-23T11:42:27.000-03:00,,Cancelado,4,499.9,Cartão de crédito,405,Pedro Henrique Souza,miguelleao@example.org,Brito de Campos,RJ,3,Fone Gamma,Eletrônicos,TechBrasil,
1787,2025-02-25T22:19:54.000-03:00,2025-03-02T22:19:54.000-03:00,Entregue,3,499.9,Cartão de crédito,536,Bryan da Mata,casa-grandemarcelo@example.net,Borges,GO,3,Fone Gamma,Eletrônicos,TechBrasil,Entrega atrasada
1959,2025-10-04T06:25:26.000-03:00,2025-10-07T06:25:26.000-03:00,Entregue,1,499.9,Cartão de crédito,182,Lara Cavalcante,aragaomaria-sophia@example.net,Correia de Minas,SP,3,Fone Gamma,Eletrônicos,TechBrasil,Entrega atrasada
2018,2025-04-21T21:13:19.000-03:00,2025-04-24T21:13:19.000-03:00,Entregue,2,499.90000000006216,Boleto,908,Emanuel Mendonça,felipe12@example.com,Nascimento da Mata,RJ,3,Fone Gamma,Eletrônicos,TechBrasil,"Muito bom, recomendo"
2079,2025-09-25T14:46:26.000-03:00,2025-09-28T14:46:26.000-03:00,Entregue,4,499.9,Pix,391,João Miguel Borges,luiz-fernandoaragao@example.net,Rezende,DF,3,Fone Gamma,Eletrônicos,TechBrasil,Produto chegou antes do esperado
2180,2025-02-05T00:17:29.000-03:00,2025-02-06T00:17:29.000-03:00,Entregue,2,499.9,Pix,649,Enzo Carvalho,luiz-gustavoda-rocha@example.com,Santos,SC,3,Fone Gamma,Eletrônicos,TechBrasil,"Muito bom, recomendo"
2387,2025-08-09T18:27:59.000-03:00,2025-08-15T18:27:59.000-03:00,Entregue,2,499.9,Cartão de crédito,654,João Lucas Rocha,jose29@example.com,Montenegro de Rezende,SC,3,Fone Gamma,Eletrônicos,TechBrasil,Não recomendo
2463,2025-06-14T16:38:37.000-03:00,2025-06-15T16:38:37.000-03:00,Entregue,3,499.9,Cartão de crédito,505,Giovanna Mendonça,silvabento@example.com,Cardoso,RS,3,Fone Gamma,Eletrônicos,TechBrasil,Qualidade ruim
2513,2025-03-10T15:14:46.000-03:00,2025-03-15T15:14:46.000-03:00,Entregue,1,499.9,Pix,852,Fernando Freitas,lramos@example.net,Vasconcelos Paulista,SC,3,Fone Gamma,Eletrônicos,TechBrasil,Entrega atrasada
2659,2025-01-15T13:22:53.000-03:00,2025-01-16T13:22:53.000-03:00,Entregue,4,499.9,Boleto,213,Julia Macedo,xda-cunha@example.com,Ramos do Sul,PR,3,Fone Gamma,Eletrônicos,TechBrasil,"Muito bom, recomendo"
2663,2025-08-05T20:01:59.000-03:00,2025-08-10T20:01:59.000-03:00,Entregue,4,499.9,Cartão de crédito,223,Dra. Alexia da Cunha,vdas-neves@example.net,Sá Paulista,SP,3,Fone Gamma,Eletrônicos,TechBrasil,"Muito bom, recomendo"
2748,2025-06-08T12:33:39.000-03:00,2025-06-15T12:33:39.000-03:00,Entregue,2,499.9,Boleto,837,Rafael Rocha,asafe09@example.com,Fernandes,CE,3,Fone Gamma,Eletrônicos,TechBrasil,Não recomendo
2771,2025-06-03T23:47:14.000-03:00,2025-06-07T23:47:14.000-03:00,Entregue,2,499.9,Boleto,542,Cecília Cirino,ana-clarapimenta@example.net,Cavalcanti dos Dourados,PR,3,Fone Gamma,Eletrônicos,TechBrasil,Produto chegou antes do esperado
2888,2025-12-01T20:58:36.000-03:00,2025-12-02T20:58:36.000-03:00,Entregue,1,499.9,Cartão de crédito,304,Júlia Teixeira,leandro70@example.com,Rocha dos Dourados,PR,3,Fone Gamma,Eletrônicos,TechBrasil,Qualidade ruim
3008,2025-09-30T03:23:25.000-03:00,2025-10-03T03:23:25.000-03:00,Entregue,1,499.9,Pix,974,Melina Costela,bpereira@example.org,da Mata,SP,3,Fone Gamma,Eletrônicos,TechBrasil,"Muito bom, recomendo"
3098,2025-06-22T10:41:35.000-03:00,2025-06-28T10:41:35.000-03:00,Entregue,4,499.9,Cartão de crédito,22,João Borges,kamilly61@example.org,Montenegro Grande,SP,3,Fone Gamma,Eletrônicos,TechBrasil,Produto chegou antes do esperado
3561,2025-04-01T20:35:35.000-03:00,2025-04-05T20:35:35.000-03:00,Entregue,4,499.9,Boleto,944,Elisa Rodrigues,luiz-henriquemoura@example.com,Nunes,BA,3,Fone Gamma,Eletrônicos,TechBrasil,Qualidade ruim
4000,2025-01-08T13:18:03.000-03:00,2025-01-12T13:18:03.000-03:00,Entregue,2,499.90000000006216,Cartão de crédito,98,Ana Lívia Alves,leo71@example.com,Câmara do Campo,RJ,3,Fone Gamma,Eletrônicos,TechBrasil,Excelente atendimento
4088,2025-05-14T02:40:32.000-03:00,2025-05-21T02:40:32.000-03:00,Entregue,4,499.9,Pix,800,Lucca Macedo,enzo59@example.net,Caldeira da Praia,CE,3,Fone Gamma,Eletrônicos,TechBrasil,Produto chegou antes do esperado
