order_id,order_date,shipping_date,status,quantity,unit_price,payment_method,customer_id,customer_name,customer_email,customer_city,customer_state,product_id,product_name,category,supplier,review
4782,2025-11-24T07:30:35.000-03:00,2025-11-29T07:30:35.000-03:00,Entregue,-1,2899.0,Pix,907,Eduardo Montenegro,rodrigo19@example.net,Garcia do Galho,BA,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,Qualidade ruim
66766,2025-12-08T19:40:00.000-03:00,2025-12-15T19:40:00.000-03:00,Entregue,-1,2899.0,Boleto,502,Maria Fernanda da Cunha,ananunes@example.com,Abreu do Amparo,MG,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,Qualidade ruim
100883,2025-01-26T14:48:03.000-03:00,2025-02-01T14:48:03.000-03:00,Entregue,-1,2899.0,Boleto,991,Sra. Maria Isis Jesus,jda-luz@example.com,Novaes de Sousa,SC,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,Entrega atrasada
11584,2025-07-25T08:08:30.000-03:00,2025-07-26T08:08:30.000-03:00,Entregue,-1,2899.0,Pix,76,Allana Montenegro,acostela@example.org,da Rosa das Flores,RS,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,"Muito bom, recomendo"
51773,2025-11-29T00:56:04.000-03:00,2025-12-02T00:56:04.000-03:00,Entregue,-1,2899.0,Boleto,496,Noah Nunes,maria-juliacavalcanti@example.org,Moraes de da Paz,RJ,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,Não recomendo
93641,2025-06-13T04:02:47.000-03:00,2025-06-16T04:02:47.000-03:00,Entregue,-1,2899.0,Boleto,909,Julia Sampaio,dteixeira@example.net,da Paz,SP,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,Entrega atrasada
119681,2025-03-25T10:33:24.000-03:00,2025-03-30T10:33:24.000-03:00,Entregue,-1,2899.0,Cartão de crédito,976,Amanda Jesus,hnascimento@example.com,Rodrigues de Cirino,SP,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,"Muito bom, recomendo"
22789,2025-06-08T04:12:26.000-03:00,,Cancelado,-1,2899.0,Pix,160,Marina Duarte,ferreiraeduardo@example.net,Alves da Mata,RS,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,
51013,2025-08-16T20:41:27.000-03:00,2025-08-17T20:41:27.000-03:00,Entregue,-1,2899.0,Boleto,705,Amanda Alves,diasluiz-otavio@example.org,Pires dos Dourados,SP,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,Qualidade ruim
12762,2025-07-21T18:22:51.000-03:00,2025-07-28T18:22:51.000-03:00,Entregue,-1,2899.0,Boleto,601,Lucca Caldeira,nicolas65@example.net,Gomes,SP,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,Não recomendo
21294,2025-02-24T08:42:11.000-03:00,,Cancelado,-1,2899.0,Boleto,558,Rafaela Oliveira,kevinnovais@example.net,Mendonça,SP,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,
43880,2025-05-11T17:26:58.000-03:00,2025-05-15T17:26:58.000-03:00,Entregue,-1,2899.0,Pix,899,Ana Júlia Pereira,evelyn60@example.net,Vasconcelos,SP,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,Excelente atendimento
59114,2025-04-10T20:42:54.000-03:00,2025-04-11T20:42:54.000-03:00,Entregue,-1,2899.0,Cartão de crédito,383,Mirella Correia,bryannovaes@example.com,Cavalcante,PR,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,Qualidade ruim
64906,2025-12-04T08:44:01.000-03:00,2025-12-10T08:44:01.000-03:00,Entregue,-1,2899.0,Cartão de crédito,323,Zoe Pires,isiscardoso@example.com,Freitas,PR,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,"Muito bom, recomendo"
84926,2025-04-17T09:12:08.000-03:00,2025-04-23T09:12:08.000-03:00,Entregue,-1,2899.0,Boleto,531,Bernardo Nascimento,mariahandrade@example.net,Mendonça de Minas,BA,4,Câmera Delta,Eletrônicos,Eletrônicos do Sul,Não recomendo
